angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.02,"[251, 84, 101, 132]",0.0,0.03,0.88,0.01,0.01,0.05
0.02,"[247, 83, 99, 128]",0.0,0.02,0.89,0.02,0.01,0.04
0.0,"[250, 84, 101, 127]",0.0,0.01,0.97,0.01,0.0,0.0
0.01,"[250, 84, 101, 128]",0.0,0.01,0.95,0.03,0.01,0.0
0.02,"[250, 85, 102, 127]",0.0,0.02,0.91,0.02,0.02,0.01
0.04,"[250, 84, 102, 129]",0.0,0.03,0.85,0.04,0.04,0.01
0.01,"[249, 83, 101, 128]",0.0,0.03,0.92,0.01,0.0,0.02
0.02,"[250, 83, 101, 128]",0.0,0.03,0.91,0.03,0.01,0.01
0.02,"[250, 83, 101, 130]",0.0,0.02,0.87,0.07,0.02,0.01
0.03,"[250, 84, 101, 129]",0.0,0.03,0.86,0.05,0.02,0.01
0.04,"[249, 84, 101, 129]",0.0,0.05,0.84,0.04,0.02,0.01
0.07,"[248, 84, 102, 129]",0.0,0.09,0.66,0.12,0.03,0.03
0.06,"[245, 91, 98, 123]",0.0,0.22,0.36,0.15,0.12,0.09
0.07,"[247, 84, 102, 132]",0.0,0.31,0.13,0.15,0.2,0.13
0.08,"[246, 84, 103, 131]",0.0,0.41,0.02,0.19,0.21,0.08
0.07,"[248, 85, 101, 130]",0.0,0.37,0.02,0.16,0.17,0.22
0.06,"[247, 84, 103, 131]",0.0,0.38,0.01,0.22,0.19,0.13
0.07,"[246, 84, 103, 131]",0.0,0.41,0.0,0.2,0.27,0.05
0.04,"[247, 84, 102, 128]",0.0,0.57,0.01,0.06,0.06,0.26
0.07,"[247, 83, 102, 129]",0.0,0.41,0.01,0.35,0.13,0.03
0.08,"[244, 89, 101, 124]",0.0,0.25,0.0,0.56,0.09,0.01
0.06,"[249, 87, 100, 123]",0.0,0.12,0.0,0.69,0.12,0.0
0.22,"[247, 82, 103, 129]",0.0,0.12,0.01,0.42,0.23,0.0
0.08,"[244, 89, 100, 122]",0.0,0.19,0.01,0.59,0.12,0.01
0.03,"[245, 90, 99, 122]",0.0,0.33,0.01,0.45,0.16,0.02
0.02,"[244, 90, 101, 124]",0.0,0.62,0.01,0.09,0.13,0.12
0.05,"[245, 90, 100, 129]",0.0,0.45,0.0,0.0,0.06,0.44
0.22,"[246, 81, 108, 142]",0.0,0.25,0.02,0.01,0.23,0.27
0.06,"[243, 90, 102, 130]",0.0,0.33,0.01,0.01,0.13,0.46
0.06,"[244, 90, 101, 130]",0.0,0.26,0.0,0.0,0.06,0.62
0.02,"[244, 90, 101, 129]",0.0,0.56,0.0,0.01,0.08,0.33
